 ID,Link,Text,Domain,SnapShot,Tags
"","http://publish.ust.hk/prog_crs_ar/ugreg/index.html","Academic Regulations","publish.ust.hk","publish.ust.hk^prog_crs_ar^ugreg^index.html.jpg"
"","http://www.ust.hk/provost/ug-guide/","UG Student Guide","www.ust.hk","www.ust.hk^provost^ug-guide^.jpg"
"","http://ptc.ust.hk/","PTC Homepage","ptc.ust.hk","ptc.ust.hk^.jpg"
"","http://photogallery.ust.hk/AlbumPage.aspx?album=all","UST Photo Catalog","photogallery.ust.hk","photogallery.ust.hk^AlbumPage.aspx^album=all.jpg"
"","http://ptc.ust.hk/ecard2002/index.html","Send E-card","ptc.ust.hk","ptc.ust.hk^ecard2002^index.html.jpg"
"","https://sao.ust.hk/","SAO Homepage","sao.ust.hk","https^^^sao.ust.hk^.jpg"
"","https://www.ab.ust.hk/applyhall","Apply / Accept Offer for On-campus Accommodation","www.ab.ust.hk","https^^^www.ab.ust.hk^applyhall.jpg"
"","https://w5.ab.ust.hk/cgi-bin/std_nem_cgi.sh/WService=broker_gn_p/prg/gn_ac_main.r","Charge Up Air-Cond Money","w5.ab.ust.hk","https^^^w5.ab.ust.hk^cgi-bin^std_nem_cgi.sh^WServi.jpg"
"","http://www.ab.ust.hk/hseo/Clinic/clinic.htm","Clinical Service","www.ab.ust.hk","www.ab.ust.hk^hseo^Clinic^clinic.htm.jpg"
"","https://w3.ab.ust.hk/hkustcard/uc_epurse_explain.htm ","e-Purse Recharge Information","w3.ab.ust.hk","https^^^w3.ab.ust.hk^hkustcard^uc_epurse_explain.h.jpg"
"","http://www.ust.hk/itsc/ResNet/","ResNet","www.ust.hk","www.ust.hk^itsc^ResNet^.jpg"
"","http://www.ust.hk/itsc/wireless/hkust/smobilenet.html","sMobileNet (Wireless Network in Hall)","www.ust.hk","www.ust.hk^itsc^wireless^hkust^smobilenet.html.jpg"
"","http://www.ust.hk/orientation/","UG Orientation","www.ust.hk","www.ust.hk^orientation^.jpg"
"","http://www.ust.hk/cfa/","Center for the Arts","www.ust.hk","www.ust.hk^cfa^.jpg"
"","http://www.ust.hk/~webccshs/","Center for Cultural Studies","www.ust.hk","www.ust.hk^~webccshs^.jpg"
"","https://www.ab.ust.hk/fo/StudentPayment.pdf","Procedures for Payment of Tuition, Hall and Other Fees","www.ab.ust.hk","https^^^www.ab.ust.hk^fo^StudentPayment.pdf.jpg"
"","http://www.eoc.org.hk:8080/shoncampus","Sexual Harassment Training Module","www.eoc.org.hk","www.eoc.org.hk^8080^shoncampus.jpg"
"","http://ihome.ust.hk/~su_ucoun/link.html","Student Society Web","ihome.ust.hk","ihome.ust.hk^~su_ucoun^link.html.jpg"
"","http://www.ust.hk/provost/announcements/news_announcements_ug4.html"," Calendar Dates 2013-14 (Provisional)","www.ust.hk","www.ust.hk^provost^announcements^news_announcement.jpg"
"","http://www.ust.hk/provost/announcements/news_announcements_ug3.html"," Academic Integrity and Good Learning Environment","www.ust.hk","www.ust.hk^provost^announcements^news_announcement.jpg"
"","http://www.ust.hk/provost/announcements/news_announcements_ug1.html"," Important Dates in 2012-13, Program & Course Catalogs, Academic Regulations","www.ust.hk","www.ust.hk^provost^announcements^news_announcement.jpg"
"","http://arr.ust.hk/reg/an/an_std_announce/cepas.html","Common English Proficiency Assessment Scheme ( CEPAS ) for 2012-13","arr.ust.hk","arr.ust.hk^reg^an^an_std_announce^cepas.html.jpg"
"","http://arr.ust.hk/reg/an/an_std_announce/ielts.html","IELTS Test Fee Reimbursement under CEPAS 2012-13","arr.ust.hk","arr.ust.hk^reg^an^an_std_announce^ielts.html.jpg"
"","http://arr.ust.hk/reg/an/an_std_announce/hippo.html","Help with IELTS Preparation and Practice On-line (HIPPO)","arr.ust.hk","arr.ust.hk^reg^an^an_std_announce^hippo.html.jpg"
"","http://arr.ust.hk/reg/an/an_std_announce/personal-data.html","Personal Information Collection Statement","arr.ust.hk","arr.ust.hk^reg^an^an_std_announce^personal-data.ht.jpg"
"","http://publish.ust.hk/prog_crs_ar/ugreg/index.html","Academic Regulations","publish.ust.hk","publish.ust.hk^prog_crs_ar^ugreg^index.html.jpg"
"","http://www.ust.hk/provost/calendar_dates/dates12-13confirmed.pdf","Calendar Dates","www.ust.hk","www.ust.hk^provost^calendar_dates^dates12-13confir.jpg"
"","http://publish.ust.hk/prog_crs_ar/ugcourse/index.html","Course Catalog","publish.ust.hk","publish.ust.hk^prog_crs_ar^ugcourse^index.html.jpg"
"","http://publish.ust.hk/prog_crs_ar/index.html","Program Catalog","publish.ust.hk","publish.ust.hk^prog_crs_ar^index.html.jpg"
"","http://www.ust.hk/provost/ug/curriculum_hb.html","Undergraduate Curriculum Handbook","www.ust.hk","www.ust.hk^provost^ug^curriculum_hb.html.jpg"
"","http://www.ust.hk/eng/teaching/schools.htm","Schools & Departments","www.ust.hk","www.ust.hk^eng^teaching^schools.htm.jpg"
"","http://uce.ust.hk/","UCEO","uce.ust.hk","uce.ust.hk^.jpg"
"","http://lc.ust.hk/","Language Center","lc.ust.hk","lc.ust.hk^.jpg"
"","http://arr.ust.hk/reg/forms/r-6.pdf","Application for Program Transfer","arr.ust.hk","arr.ust.hk^reg^forms^r-6.pdf.jpg"
"","http://arr.ust.hk/reg/forms/r-8.pdf","Application for Leave from Study","arr.ust.hk","arr.ust.hk^reg^forms^r-8.pdf.jpg"
"","http://arr.ust.hk/reg/forms/r-11.pdf","Application for Personal Data Amendment","arr.ust.hk","arr.ust.hk^reg^forms^r-11.pdf.jpg"
"","http://arr.ust.hk/reg/forms/r-12.pdf","Application for Withdrawal of Study","arr.ust.hk","arr.ust.hk^reg^forms^r-12.pdf.jpg"
"","http://arr.ust.hk/reg/forms/RR-22.pdf","Application for Class Enrollment/Withdrawal after Add/Drop Period","arr.ust.hk","arr.ust.hk^reg^forms^RR-22.pdf.jpg"
"","http://arr.ust.hk/reg/forms/r-25.pdf","Application for Testimonial","arr.ust.hk","arr.ust.hk^reg^forms^r-25.pdf.jpg"
"","http://arr.ust.hk/reg/forms/r-26a.pdf","Application for Replacement of HKUST Card","arr.ust.hk","arr.ust.hk^reg^forms^r-26a.pdf.jpg"
"","http://arr.ust.hk/reg/forms/r-29.pdf","Application for Double Registration","arr.ust.hk","arr.ust.hk^reg^forms^r-29.pdf.jpg"
"","http://arr.ust.hk/reg/forms/r-31.pdf","Application for Extension of Length of Study","arr.ust.hk","arr.ust.hk^reg^forms^r-31.pdf.jpg"
"","http://arr.ust.hk/reg/forms/r-37.pdf","Declaration of Undergraduate Minor Program","arr.ust.hk","arr.ust.hk^reg^forms^r-37.pdf.jpg"
"","http://arr.ust.hk/reg/forms/EX10_pdf.pdf","Application for Transcript of Studies","arr.ust.hk","arr.ust.hk^reg^forms^EX10_pdf.pdf.jpg"
"","http://arr.ust.hk/reg/forms/EX-16.pdf","Report on Extenuating Circumstances Affecting Assessment","arr.ust.hk","arr.ust.hk^reg^forms^EX-16.pdf.jpg"
"","http://arr.ust.hk/reg/forms/fof100.pdf","Application for Refund of Caution Money","arr.ust.hk","arr.ust.hk^reg^forms^fof100.pdf.jpg"
"","http://arr.ust.hk/reg/forms/gr-13.pdf","Application for Award Certification Letter","arr.ust.hk","arr.ust.hk^reg^forms^gr-13.pdf.jpg"
"","http://arr.ust.hk/reg/forms/gr-12.pdf","Collection of Degree Diploma","arr.ust.hk","arr.ust.hk^reg^forms^gr-12.pdf.jpg"
"","http://www.ust.hk/provost/ug-guide/programs/requirements.html","Curriculum Requirements","www.ust.hk","www.ust.hk^provost^ug-guide^programs^requirements..jpg"
"","http://www.ust.hk/provost/ug-guide/programs/credit.html","Credit Transfer & Exemptions","www.ust.hk","www.ust.hk^provost^ug-guide^programs^credit.html.jpg"
"","http://www.ust.hk/provost/ug-guide/programs/registration.html","Registration in Programs","www.ust.hk","www.ust.hk^provost^ug-guide^programs^registration..jpg"
"","http://www.ust.hk/provost/ug-guide/programs/changes.html","Changes of Registration","www.ust.hk","www.ust.hk^provost^ug-guide^programs^changes.html.jpg"
"","http://www.ust.hk/provost/ug-guide/programs/leave.html","Leave from Study","www.ust.hk","www.ust.hk^provost^ug-guide^programs^leave.html.jpg"
"","http://www.ust.hk/provost/ug-guide/programs/withdrawal.html","University Withdrawal & Re-admission","www.ust.hk","www.ust.hk^provost^ug-guide^programs^withdrawal.ht.jpg"
"","http://www.ust.hk/provost/ug-guide/courses/pathway.html","Study Pathway","www.ust.hk","www.ust.hk^provost^ug-guide^courses^pathway.html.jpg"
"","http://www.ust.hk/provost/ug-guide/courses/class.html","Class Enrollment Process","www.ust.hk","www.ust.hk^provost^ug-guide^courses^class.html.jpg"
